Survived,Fare,Gender,Relatives,Age
0,7.25,male,1,22
1,71.2833,female,1,38
1,7.925,female,0,26
1,53.1,female,1,35
0,8.05,male,0,35
0,8.4583,male,0,27
0,51.8625,male,0,54
0,21.075,male,4,2
1,11.1333,female,2,27
1,30.0708,female,1,14
1,16.7,female,2,4
1,26.55,female,0,58
0,8.05,male,0,20
0,31.275,male,6,39
0,7.8542,female,0,14
1,16,female,0,55
0,29.125,male,5,2
1,13,male,0,23
0,18,female,1,31
1,7.225,female,0,22
0,26,male,0,35
1,13,male,0,34
1,8.0292,female,0,15
1,35.5,male,0,28
0,21.075,female,4,8
1,31.3875,female,6,38
0,7.225,male,0,26
0,263,male,5,19
1,7.8792,female,0,24
0,7.8958,male,0,23
0,27.7208,male,0,40
1,146.5208,female,1,48
1,7.75,female,0,18
0,10.5,male,0,66
0,82.1708,male,1,28
0,52,male,1,42
1,7.2292,male,0,18
0,8.05,male,0,21
0,18,female,2,18
1,11.2417,female,1,14
0,9.475,female,1,40
0,21,female,1,27
1,41.5792,female,3,3
1,7.8792,female,0,19
0,8.05,male,0,30
0,15.5,male,1,20
1,7.75,female,0,27
0,21.6792,male,2,16
0,17.8,female,1,18
0,39.6875,male,5,7
0,7.8,male,0,21
1,76.7292,female,1,49
1,26,female,1,29
0,61.9792,male,1,65
1,35.5,male,0,46
1,10.5,female,0,21
0,7.2292,male,0,28.5
1,27.75,female,3,5
0,46.9,male,7,11
0,7.2292,male,0,22
1,80,female,0,38
0,83.475,male,1,45
0,27.9,male,5,4
0,27.7208,male,0,64
1,15.2458,male,2,7
1,10.5,female,0,29
0,8.1583,male,0,19
1,7.925,female,6,17
0,8.6625,male,2,26
0,10.5,male,0,32
0,46.9,female,7,16
0,73.5,male,0,21
0,14.4542,male,1,26
1,56.4958,male,0,32
0,7.65,male,0,25
0,7.8958,male,0,23
0,8.05,male,0,28
1,29,male,2,0.83
1,12.475,female,0,30
0,9,male,0,22
1,9.5,male,0,29
1,7.7875,female,0,31
0,47.1,male,0,28
1,10.5,female,0,17
1,15.85,female,3,33
0,34.375,male,4,16
0,8.05,male,0,20
1,263,female,5,23
0,8.05,male,0,24
0,8.05,male,0,29
0,7.8542,male,0,20
0,61.175,male,1,46
0,20.575,male,3,26
0,7.25,male,0,59
0,8.05,male,0,22
0,34.6542,male,0,71
1,63.3583,male,1,23
1,23,female,1,34
0,26,male,1,34
0,7.8958,female,0,28
0,7.8958,male,0,29
0,77.2875,male,1,21
0,8.6542,male,0,33
0,7.925,male,2,37
0,7.8958,male,0,28
1,7.65,female,0,21
1,7.775,male,0,29
0,7.8958,male,0,38
1,24.15,female,1,28
0,52,male,0,47
0,14.4542,female,1,14.5
0,8.05,male,0,22
0,9.825,female,1,20
0,14.4583,female,0,17
0,7.925,male,0,21
0,7.75,male,0,70.5
0,21,male,1,29
0,247.5208,male,1,24
0,31.275,female,6,2
0,73.5,male,2,21
0,8.05,male,0,19
0,30.0708,male,1,32.5
1,13,female,0,32.5
0,77.2875,male,1,54
1,11.2417,male,1,12
0,7.75,male,0,19
1,7.1417,male,0,24
1,22.3583,female,2,2
0,6.975,male,0,45
0,7.8958,male,0,33
0,7.05,male,0,20
0,14.5,female,1,47
1,26,female,1,29
0,13,male,0,25
0,15.0458,male,0,23
1,26.2833,female,2,19
0,53.1,male,1,37
0,9.2167,male,0,16
0,79.2,male,0,24
0,15.2458,female,2,40
1,7.75,female,0,22
1,15.85,female,1,24
0,6.75,male,0,19
0,11.5,male,0,18
0,36.75,male,2,19
1,7.7958,male,0,27
0,34.375,female,4,9
0,26,male,2,36.5
0,13,male,0,42
0,12.525,male,0,51
1,66.6,female,1,22
0,8.05,male,0,55.5
0,14.5,male,2,40.5
0,7.3125,male,0,27
0,61.3792,male,1,51
1,7.7333,female,0,16
0,8.05,male,0,30
0,8.6625,male,0,37
0,69.55,male,10,5
0,16.1,male,1,44
1,15.75,female,0,40
0,7.775,male,0,26
0,8.6625,male,0,17
0,39.6875,male,5,1
1,20.525,male,2,9
1,55,female,1,48
0,27.9,female,5,45
0,25.925,male,0,60
0,56.4958,male,0,28
0,33.5,male,0,61
0,29.125,male,5,4
1,11.1333,female,2,1
0,7.925,male,0,21
0,30.6958,male,0,56
0,7.8542,male,2,18
0,25.4667,male,4,5
0,28.7125,female,0,50
0,13,male,0,30
0,0,male,0,36
0,69.55,female,10,8
0,15.05,male,0,39
0,31.3875,male,6,9
1,39,male,3,1
1,22.025,female,2,4
0,50,male,0,39
1,15.5,female,1,26
1,26.55,male,0,45
0,15.5,male,2,40
0,7.8958,male,0,36
1,13,female,0,32
0,13,male,0,19
1,7.8542,female,1,19
1,26,male,2,3
1,27.7208,female,0,44
1,146.5208,female,0,58
0,7.75,male,0,28
0,8.4042,male,1,42
1,7.75,female,0,21
0,13,female,0,24
0,9.5,male,0,28
0,69.55,male,10,17
0,6.4958,male,0,34
0,7.225,male,0,45.5
1,8.05,male,0,18
0,10.4625,female,1,2
0,15.85,male,1,32
1,18.7875,male,0,26
1,7.75,female,0,16
1,31,male,0,40
0,7.05,male,0,24
1,21,female,0,35
0,7.25,male,0,22
0,13,male,0,30
0,7.75,male,1,22
1,113.275,female,1,31
1,7.925,female,0,27
0,27,male,1,42
1,76.2917,female,0,32
0,10.5,male,0,30
1,8.05,male,0,16
0,13,male,0,27
0,8.05,male,0,51
0,7.8958,male,0,22
1,90,male,1,38
0,9.35,male,0,22
1,10.5,male,0,19
0,7.25,male,0,20.5
0,13,male,0,18
0,25.4667,female,4,12
1,83.475,female,1,35
0,7.775,male,0,29
0,13.5,male,0,59
1,31.3875,female,6,5
0,10.5,male,0,24
0,7.55,female,0,21
0,26,male,1,44
1,26.25,female,2,8
0,10.5,male,0,19
0,12.275,male,0,33
0,14.4542,female,1,19
1,15.5,female,1,18
0,10.5,male,0,29
0,7.125,male,0,22
0,7.225,male,0,30
0,90,male,2,44
0,7.775,female,0,25
1,14.5,female,2,24
1,52.5542,male,2,37
0,26,male,1,54
0,7.25,male,0,18
0,10.4625,female,2,29
0,26.55,male,0,62
0,16.1,male,1,30
0,20.2125,female,2,41
1,15.2458,female,2,29
1,79.2,female,0,38
1,86.5,female,0,30
1,512.3292,female,0,35
1,26,female,1,50
1,31.3875,male,6,3
0,79.65,male,2,52
0,0,male,0,40
0,7.75,female,0,21
0,10.5,male,0,36
0,39.6875,male,5,16
1,7.775,male,1,25
1,153.4625,female,1,58
1,135.6333,female,0,35
0,31,male,0,28
1,0,male,0,25
1,19.5,female,1,41
0,29.7,male,1,37
1,7.75,female,0,33
1,77.9583,female,1,63
0,7.75,female,0,45
0,0,male,0,21
0,29.125,male,5,7
1,20.25,female,2,35
0,7.75,male,0,65
0,7.8542,male,0,28
0,9.5,male,0,16
1,8.05,male,0,19
0,26,male,0,57
0,8.6625,male,0,33
1,9.5,male,0,30
0,7.8958,male,0,22
1,13,male,0,42
1,7.75,female,0,22
1,78.85,female,0,26
1,91.0792,female,1,19
0,12.875,male,0,36
0,8.85,female,0,24
0,7.8958,male,0,24
0,27.7208,male,0,30
0,7.2292,male,0,23.5
0,151.55,female,3,2
1,30.5,male,0,47
1,247.5208,female,1,50
1,7.75,female,0,20
1,23.25,male,2,24
0,0,male,0,19
1,12.35,female,0,46
0,8.05,male,0,28
1,151.55,male,3,0.92
1,110.8833,female,0,42
1,108.9,female,1,17
0,24,male,1,30
1,56.9292,female,0,30
1,83.1583,female,0,24
1,262.375,female,4,18
0,26,female,2,26
0,7.8958,male,0,28
0,26.25,male,2,43
1,7.8542,female,0,26
1,26,female,1,24
0,14,male,0,54
1,164.8667,female,2,31
1,134.5,female,2,40
0,7.25,male,0,22
0,7.8958,male,0,27
1,12.35,female,0,30
1,29,female,2,22
0,69.55,male,10,20
1,135.6333,female,0,36
0,6.2375,male,0,61
1,13,female,0,36
1,20.525,female,2,31
1,57.9792,female,1,16
1,23.25,female,2,28
0,28.5,male,0,45.5
0,153.4625,male,1,38
0,18,male,2,16
1,133.65,female,1,42
0,7.8958,male,0,30
0,66.6,male,1,29
1,134.5,female,0,41
1,8.05,male,0,45
0,35.5,male,0,45
1,26,male,2,2
1,263,female,5,24
0,13,male,0,28
0,13,male,0,25
0,13,male,0,36
1,13,female,0,24
1,13,female,0,40
1,16.1,female,1,34
1,15.9,male,2,3
0,8.6625,male,0,42
0,9.225,male,0,23
0,35,male,0,43
0,7.2292,male,2,15
0,17.8,male,1,25
0,7.225,male,0,23
0,9.5,male,0,28
1,55,female,1,22
0,13,female,0,38
1,7.8792,female,0,22
1,7.8792,female,0,23
0,27.9,male,5,40
0,27.7208,male,1,29
0,14.4542,female,1,45
0,7.05,male,0,35
0,15.5,male,1,27
0,7.25,male,0,30
1,75.25,female,1,60
1,7.2292,female,0,35
1,7.75,female,0,22
1,69.3,female,0,24
1,55.4417,male,1,25
0,6.4958,male,1,18
0,8.05,male,0,19
0,135.6333,male,0,22
0,21.075,female,4,3
1,82.1708,female,1,25
1,7.25,female,0,22
0,211.5,male,2,27
0,4.0125,male,0,20
0,7.775,male,0,19
1,227.525,female,0,42
1,15.7417,female,2,1
0,7.925,male,0,32
1,52,female,1,35
0,7.8958,male,0,27
0,73.5,male,0,18
0,46.9,male,7,1
1,13,female,0,36
0,7.7292,male,0,19
1,12,female,0,17
1,120,male,3,36
1,7.7958,male,0,21
0,7.925,male,2,28
1,113.275,female,1,23
1,16.7,female,2,24
0,7.7958,male,0,22
0,7.8542,female,0,31
0,26,male,0,46
0,10.5,male,0,23
1,12.65,female,0,28
1,7.925,male,0,39
0,8.05,male,0,26
0,9.825,female,1,21
0,15.85,male,1,28
0,8.6625,female,0,20
0,21,male,1,34
0,7.75,male,0,51
1,18.75,male,2,3
0,7.775,male,0,21
0,25.4667,female,4,3
0,7.8958,male,0,42
0,6.8583,male,0,27
1,90,female,1,33
0,0,male,0,22
1,7.925,male,0,44
0,8.05,female,0,32
1,32.5,female,2,34
1,13,female,2,18
0,13,male,0,30
0,24.15,female,2,10
0,7.7333,male,0,21
0,7.875,male,0,29
0,14.4,female,2,28
0,20.2125,male,2,18
0,7.25,male,0,54
1,26,female,1,28
1,26,female,0,19
0,7.75,male,0,28
1,8.05,male,0,32
1,26.55,male,0,28
1,16.1,female,1,33
1,26,female,1,42
0,7.125,male,0,17
0,55.9,male,1,50
1,120,female,3,14
0,34.375,female,4,21
1,18.75,female,5,24
0,263,male,5,64
0,10.5,male,0,31
1,26.25,female,2,45
0,9.5,male,0,20
0,7.775,male,1,25
1,13,female,0,28
1,8.1125,male,0,29
1,81.8583,male,2,4
1,19.5,female,1,13
1,26.55,male,0,34
1,19.2583,female,3,5
1,30.5,male,0,52
0,27.75,male,3,36
0,19.9667,male,1,28
0,27.75,male,0,30
1,89.1042,male,1,49
0,8.05,male,0,24
1,7.8958,male,0,29
0,26.55,male,0,65
1,51.8625,female,1,41
1,10.5,female,0,50
0,7.75,male,0,17
1,26.55,male,0,48
0,8.05,male,0,34
0,38.5,male,0,47
0,13,male,0,48
0,8.05,male,0,34
0,7.05,male,0,38
0,0,male,0,21
0,26.55,male,0,56
0,7.725,male,0,22
1,19.2583,female,3,0.75
0,7.25,male,0,39
0,8.6625,male,0,38
1,27.75,female,3,33
1,13.7917,female,0,23
0,9.8375,female,0,22
0,52,male,0,40
0,21,male,1,34
0,7.0458,male,1,29
0,7.5208,male,0,22
1,12.2875,female,1,2
0,46.9,male,7,9
0,0,male,0,37
0,8.05,male,0,50
1,9.5875,female,0,63
1,91.0792,male,1,25
0,25.4667,female,4,8
1,90,female,1,35
0,29.7,male,0,58
0,8.05,male,0,30
1,15.9,male,2,9
0,19.9667,male,1,19
0,7.25,male,0,21
0,30.5,male,0,55
0,49.5042,male,0,71
0,8.05,male,0,21
0,14.4583,male,0,26
1,78.2667,female,1,54
0,15.1,male,0,55
0,151.55,female,3,25
0,7.7958,male,0,24
0,8.6625,male,0,17
0,7.75,female,0,21
0,7.6292,female,0,21
0,9.5875,female,0,37
1,86.5,female,0,16
0,108.9,male,1,18
1,26,female,2,33
1,26.55,male,0,37
0,22.525,male,0,28
1,56.4958,male,0,26
1,7.75,male,0,29
0,8.05,male,0,66
1,26.2875,male,0,36
1,59.4,female,1,54
0,7.4958,male,0,24
0,34.0208,male,0,47
1,10.5,female,0,34
0,24.15,male,0,30
1,26,female,1,36
0,7.8958,male,0,32
1,93.5,female,0,30
0,7.8958,male,0,22
0,7.225,male,0,35
1,57.9792,female,1,44
0,7.2292,male,0,18
0,7.75,male,0,40.5
1,10.5,female,0,50
0,221.7792,male,0,49
0,7.925,male,0,39
0,11.5,male,3,23
1,26,female,2,2
0,7.2292,male,0,17
0,7.2292,male,2,17
1,22.3583,female,2,24
0,8.6625,female,0,30
1,26.25,female,2,7
0,26.55,male,0,45
1,106.425,female,0,30
0,14.5,male,0,69
1,49.5,female,2,22
1,71,female,2,36
0,31.275,female,6,9
0,31.275,female,6,11
1,26,male,1,32
0,106.425,male,1,50
0,26,male,0,64
1,26,female,1,19
1,13.8625,male,0,27
0,20.525,male,2,33
1,36.75,male,2,8
1,110.8833,male,2,17
0,26,male,0,27
0,7.8292,male,0,21
1,7.225,male,0,22
1,7.775,female,0,22
0,26.55,male,0,62
1,39.6,female,1,48
0,227.525,male,0,45
1,79.65,female,2,39
1,17.4,female,1,36
0,7.75,male,0,30
0,7.8958,male,0,40
0,13.5,male,0,28
0,8.05,male,0,40
0,8.05,female,0,62
0,24.15,male,2,24
0,7.8958,male,0,19
0,21.075,female,4,29
0,7.2292,male,0,28
1,7.8542,male,0,32
1,10.5,male,0,62
1,51.4792,female,2,53
1,26.3875,male,0,36
1,7.75,female,0,22
0,8.05,male,0,16
0,14.5,male,0,19
1,13,female,0,34
1,55.9,female,1,39
0,14.4583,female,1,18
1,7.925,male,0,32
1,30,female,2,25
1,110.8833,female,2,39
0,26,male,0,54
0,40.125,male,0,36
0,8.7125,male,0,16
1,79.65,female,2,18
0,15,male,0,47
1,79.2,male,2,60
0,8.05,male,0,22
0,8.05,male,0,22
0,7.125,male,0,35
1,78.2667,female,1,52
0,7.25,male,0,47
0,7.75,female,2,40
0,26,male,1,37
0,24.15,male,2,36
1,33,female,0,31
0,0,male,0,49
0,7.225,male,0,18
1,56.9292,male,1,49
1,27,female,3,24
0,7.8958,male,0,42
0,42.4,male,0,37
0,8.05,male,0,44
1,26.55,male,0,35
0,15.55,male,1,36
0,7.8958,male,0,30
1,30.5,male,0,27
1,41.5792,female,3,22
1,153.4625,female,0,40
0,31.275,female,6,39
0,7.05,male,0,21
1,15.5,female,1,18
0,7.75,male,0,22
0,8.05,male,0,35
1,65,female,3,24
0,14.4,male,2,34
0,16.1,female,1,26
1,39,female,3,4
0,10.5,male,0,26
0,14.4542,male,1,27
1,52.5542,male,1,42
1,15.7417,male,2,20
0,7.8542,male,0,21
0,16.1,male,0,21
0,32.3208,male,0,61
0,12.35,male,0,57
1,77.9583,female,0,21
0,7.8958,male,0,26
0,7.7333,male,0,18
1,30,male,0,80
0,7.0542,male,0,51
1,30.5,male,0,32
0,0,male,0,30
0,27.9,female,5,9
1,13,female,0,28
0,7.925,male,0,32
0,26.25,male,2,31
0,39.6875,female,5,41
0,16.1,male,1,37
0,7.8542,male,0,20
1,69.3,female,0,24
0,27.9,female,5,2
1,56.4958,male,0,32
1,19.2583,female,3,0.75
1,76.7292,male,1,48
0,7.8958,male,0,19
1,35.5,male,0,56
0,7.55,male,0,21
1,7.55,female,0,23
0,7.8958,male,0,23
1,23,female,1,18
0,8.4333,male,0,21
1,7.8292,female,0,16
0,6.75,female,0,18
0,73.5,male,2,24
0,7.8958,male,0,27
0,15.5,female,2,32
0,13,male,0,23
0,113.275,male,2,58
1,133.65,male,2,50
0,7.225,male,0,40
0,25.5875,male,0,47
0,7.4958,male,0,36
1,7.925,male,1,20
0,73.5,male,2,32
0,13,male,0,25
0,7.775,male,0,49
0,8.05,male,0,43
1,52,female,1,48
1,39,female,2,40
0,52,male,1,31
0,10.5,male,0,70
1,13,male,0,31
0,0,male,0,19
0,7.775,male,0,18
0,8.05,male,0,24.5
1,9.8417,female,0,18
0,46.9,female,7,43
1,512.3292,male,1,36
0,8.1375,female,0,28
1,76.7292,male,0,27
0,9.225,male,0,20
0,46.9,male,7,14
0,39,male,2,60
0,41.5792,male,3,25
0,39.6875,male,5,14
0,10.1708,male,0,19
0,7.7958,male,0,18
1,211.3375,female,1,15
1,57,male,1,31
1,13.4167,female,1,4
1,56.4958,male,0,37
0,7.225,male,0,25
0,26.55,male,0,60
0,13.5,male,0,52
0,8.05,male,0,44
1,7.7333,female,0,19
0,110.8833,male,2,49
0,7.65,male,0,42
1,227.525,female,1,18
1,26.2875,male,0,35
0,14.4542,female,1,18
0,7.7417,male,0,25
0,7.8542,male,1,26
0,26,male,0,39
1,13.5,female,0,45
1,26.2875,male,0,42
1,151.55,female,0,22
1,15.2458,male,2,4
1,49.5042,female,0,24
0,26.55,male,0,41
1,52,male,1,48
0,9.4833,male,0,29
0,13,male,0,52
0,7.65,male,0,19
1,227.525,female,0,38
1,10.5,female,0,27
0,7.775,male,0,33
1,33,female,1,6
0,7.0542,male,1,17
0,13,male,0,34
0,13,male,0,50
1,53.1,male,1,27
0,8.6625,male,0,20
1,21,female,3,30
1,7.7375,female,0,28
0,26,male,1,25
0,7.925,female,1,25
1,211.3375,female,0,29
0,18.7875,male,0,11
0,0,male,0,41
0,13,male,0,23
0,13,male,0,23
0,16.1,male,0,28.5
0,34.375,female,4,48
1,512.3292,male,0,35
0,7.8958,male,0,20
0,7.8958,male,0,32
1,30,male,0,45
0,78.85,male,1,36
1,262.375,female,4,21
0,16.1,male,1,24
1,7.925,male,0,31
0,71,male,2,70
0,20.25,male,2,16
1,13,female,0,30
0,53.1,male,1,19
0,7.75,male,0,31
1,23,female,2,4
1,12.475,male,1,6
0,9.5,male,0,33
0,7.8958,male,0,23
1,65,female,3,48
1,14.5,male,2,0.67
0,7.7958,male,0,28
0,11.5,male,0,18
0,8.05,male,0,34
1,86.5,female,0,33
0,14.5,male,0,23
0,7.125,male,0,41
1,7.2292,male,0,20
1,120,female,3,36
0,7.775,male,0,16
1,77.9583,female,1,51
0,39.6,male,0,46
0,7.75,female,0,30.5
0,24.15,male,1,28
0,8.3625,male,0,32
0,9.5,male,0,24
0,7.8542,male,0,48
0,10.5,female,0,57
0,7.225,male,0,29
1,23,female,4,54
0,7.75,male,0,18
0,7.75,male,0,20
1,12.475,female,0,5
0,7.7375,male,0,22
1,211.3375,female,1,43
1,7.2292,female,0,13
1,57,female,1,17
0,30,male,0,29
0,23.45,male,3,35
0,7.05,male,0,25
0,7.25,male,0,25
1,7.4958,female,0,18
0,29.125,male,5,8
1,20.575,male,3,1
0,79.2,male,0,46
0,7.75,male,0,20
0,26,male,0,16
0,69.55,female,10,21
0,30.6958,male,0,43
0,7.8958,male,0,25
0,13,male,0,39
1,25.9292,female,0,49
1,8.6833,female,0,31
0,7.2292,male,0,30
0,24.15,female,2,30
0,13,male,0,34
1,26.25,female,2,31
1,120,male,3,11
1,8.5167,male,1,0.42
1,6.975,male,0,27
0,7.775,male,0,31
0,0,male,0,39
0,7.775,female,0,18
0,13,male,0,39
1,53.1,female,1,33
0,7.8875,male,0,26
0,24.15,male,0,39
0,10.5,male,0,35
0,31.275,female,6,6
0,8.05,male,0,30.5
0,0,male,0,39
0,7.925,female,0,23
0,37.0042,male,2,31
0,6.45,male,0,43
0,27.9,male,5,10
1,93.5,female,2,52
1,8.6625,male,0,27
0,0,male,0,38
1,12.475,female,1,27
0,39.6875,male,5,2
0,6.95,male,0,36
0,56.4958,male,0,23
1,37.0042,male,2,1
1,7.75,male,0,19
1,80,female,0,62
1,14.4542,female,1,15
1,18.75,male,2,0.83
0,7.2292,male,0,30
0,7.8542,male,0,23
0,8.3,male,0,18
1,83.1583,female,2,39
0,8.6625,male,0,21
0,8.05,male,0,20
1,56.4958,male,0,32
1,29.7,male,0,29
0,7.925,male,0,20
0,10.5,male,0,16
1,31,female,0,30
0,6.4375,male,0,34.5
0,8.6625,male,0,17
0,7.55,male,0,42
0,69.55,male,10,18
0,7.8958,male,0,35
0,33,male,1,28
1,89.1042,female,1,40
0,31.275,male,6,4
0,7.775,male,0,74
0,15.2458,female,2,9
1,39.4,female,1,16
0,26,female,1,44
1,9.35,female,1,18
1,164.8667,female,2,45
1,26.55,male,0,51
1,19.2583,female,3,24
0,7.2292,male,0,30
0,14.1083,male,2,41
0,11.5,male,1,21
1,25.9292,female,0,48
0,69.55,female,10,14
0,13,male,0,24
1,13,female,0,42
1,13.8583,female,1,27
0,50.4958,male,0,31
0,9.5,male,0,23
1,11.1333,male,2,4
0,7.8958,male,0,26
1,52.5542,female,2,47
0,5,male,0,33
0,9,male,0,47
1,24,female,1,28
1,7.225,female,0,15
0,9.8458,male,0,20
0,7.8958,male,0,19
0,7.8958,male,0,23
1,83.1583,female,1,56
1,26,female,1,25
0,7.8958,male,0,33
0,10.5167,female,0,22
0,10.5,male,0,28
0,7.05,male,0,25
0,29.125,female,5,39
0,13,male,0,27
1,30,female,0,19
0,23.45,female,3,7
1,30,male,0,26
0,7.75,male,0,32
